2014-10-1,24
2014-10-2,71
2014-10-3,25
2014-10-6,32
2014-10-7,60
2014-10-8,44
2014-10-9,64
2014-10-10,33
2014-10-14,67
2014-10-15,28
2014-10-16,90
2014-10-17,73
2014-10-20,9
2014-10-21,76
2014-10-22,1
2014-10-23,99
2014-10-24,73
2014-10-27,60
2014-10-28,99
2014-10-29,69
2014-10-30,68
2014-10-31,35
2014-11-4,2
2014-11-5,24
2014-11-6,10
2014-11-7,16
2014-11-10,43
2014-11-11,20
2014-11-12,88
2014-11-13,18
2014-11-14,63
2014-11-17,23
2014-11-18,55
2014-11-19,83
2014-11-20,87
2014-11-21,55
2014-11-25,47
2014-11-26,60
2014-11-27,80
2014-11-28,77
